Transcription_Factor_sds,Pop1_Expr,Pop2_Expr,Pop3_Expr,Pop4_Expr
RBPJ,2879.00437145471,4835.79541831578,3828.91613023076,1427.43113536353
CUX1,3442.9416289456,2459.12382298662,2674.86489311248,992.062219941325
ARID5B,8451.80763670089,4124.97136177525,14713.3446136194,2516.23210541446
TFAP2A,0,0,0.892956647906415,1.24331593500736
CDX2,0,0,0,0.300825986052739
HIC1,0.897652304898824,44.7678070851636,8.90404669027298,19.4036520393553
FOXO3,2199.40508907307,2544.15930270708,2176.94675860192,800.145583182074
IRF1,13430.3645195032,10697.8855618555,12822.5651764222,2760.73547306315
KLF4,7444.5716856403,1615.24146820495,388.53056453364,110.224185958066
